**************************************************************************************************************


SPECIES :  I^- / I_2
PROCESS:  I^- + I_2 -> I^- + I_2, isotropic
PARAM.:   delta E = 0.00
COMMENT:  constant value, same order of magnitude in Cl2 and O2
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 5.616930e+02    1.000000e-20
 5.828155e+02    1.000000e-20
 6.047322e+02    1.000000e-20
 6.274732e+02    1.000000e-20
 6.510694e+02    1.000000e-20
 6.755528e+02    1.000000e-20
 7.009570e+02    1.000000e-20
 7.273165e+02    1.000000e-20
 7.546673e+02    1.000000e-20
 7.830465e+02    1.000000e-20
 8.124930e+02    1.000000e-20
 8.430468e+02    1.000000e-20
 8.747496e+02    1.000000e-20
 9.076446e+02    1.000000e-20
 9.417766e+02    1.000000e-20
 9.771921e+02    1.000000e-20
 1.013939e+03    1.000000e-20
 1.052069e+03    1.000000e-20
 1.091632e+03    1.000000e-20
 1.132683e+03    1.000000e-20
 1.175277e+03    1.000000e-20
 1.219473e+03    1.000000e-20
 1.265332e+03    1.000000e-20
 1.312915e+03    1.000000e-20
 1.362287e+03    1.000000e-20
 1.413516e+03    1.000000e-20
 1.466671e+03    1.000000e-20
 1.521825e+03    1.000000e-20
 1.579053e+03    1.000000e-20
 1.638434e+03    1.000000e-20
 1.700047e+03    1.000000e-20
 1.763977e+03    1.000000e-20
 1.830312e+03    1.000000e-20
 1.899141e+03    1.000000e-20
 1.970558e+03    1.000000e-20
 2.044661e+03    1.000000e-20
 2.121550e+03    1.000000e-20
 2.201331e+03    1.000000e-20
 2.284112e+03    1.000000e-20
 2.370006e+03    1.000000e-20
 2.459130e+03    1.000000e-20
 2.551606e+03    1.000000e-20
 2.647559e+03    1.000000e-20
 2.747121e+03    1.000000e-20
 2.850426e+03    1.000000e-20
 2.957617e+03    1.000000e-20
 3.068838e+03    1.000000e-20
 3.184242e+03    1.000000e-20
 3.303985e+03    1.000000e-20
 3.428231e+03    1.000000e-20
 3.557150e+03    1.000000e-20
 3.690917e+03    1.000000e-20
 3.829714e+03    1.000000e-20
 3.973730e+03    1.000000e-20
 4.123163e+03    1.000000e-20
 4.278214e+03    1.000000e-20
 4.439097e+03    1.000000e-20
 4.606029e+03    1.000000e-20
 4.779239e+03    1.000000e-20
 4.958962e+03    1.000000e-20
 5.145444e+03    1.000000e-20
 5.338938e+03    1.000000e-20
 5.539709e+03    1.000000e-20
 5.748030e+03    1.000000e-20
 5.964185e+03    1.000000e-20
 6.188468e+03    1.000000e-20
 6.421186e+03    1.000000e-20
 6.662655e+03    1.000000e-20
 6.913204e+03    1.000000e-20
 7.173175e+03    1.000000e-20
 7.442922e+03    1.000000e-20
 7.722814e+03    1.000000e-20
 8.013230e+03    1.000000e-20
 8.314568e+03    1.000000e-20
 8.627237e+03    1.000000e-20
 8.951665e+03    1.000000e-20
 9.288292e+03    1.000000e-20
 9.637579e+03    1.000000e-20
 1.000000e+04    1.000000e-20
-----------------------------
