**************************************************************************************************************


SPECIES :  I^+ / I2
PROCESS:  I^+ + I2 -> I + I2^+, CHARGE_EXCHANGE
PARAM.:   delta E = -1.14
COMMENT:  fit from data of figure 5 in Hause et al (2015) in the center of mass, exothermic reaction 1.14 eV
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.244787e-01    1.542507e-18
 1.265034e-01    1.530113e-18
 1.285610e-01    1.517819e-18
 1.306520e-01    1.505624e-18
 1.327771e-01    1.493527e-18
 1.349367e-01    1.481527e-18
 1.371315e-01    1.469623e-18
 1.393619e-01    1.457815e-18
 1.416287e-01    1.446102e-18
 1.439323e-01    1.434483e-18
 1.462733e-01    1.422958e-18
 1.486525e-01    1.411525e-18
 1.510703e-01    1.400184e-18
 1.535275e-01    1.388934e-18
 1.560246e-01    1.377774e-18
 1.585624e-01    1.366704e-18
 1.611414e-01    1.355723e-18
 1.637624e-01    1.344830e-18
 1.664260e-01    1.334025e-18
 1.691330e-01    1.323307e-18
 1.718839e-01    1.312674e-18
 1.746796e-01    1.302127e-18
 1.775208e-01    1.291665e-18
 1.804082e-01    1.281287e-18
 1.833425e-01    1.270993e-18
 1.863246e-01    1.260781e-18
 1.893552e-01    1.250651e-18
 1.924351e-01    1.240602e-18
 1.955651e-01    1.230634e-18
 1.987460e-01    1.220746e-18
 2.019786e-01    1.210938e-18
 2.052638e-01    1.201209e-18
 2.086024e-01    1.191557e-18
 2.119953e-01    1.181984e-18
 2.154435e-01    1.172487e-18
 2.189477e-01    1.163066e-18
 2.225089e-01    1.153721e-18
 2.261280e-01    1.144452e-18
 2.298060e-01    1.135256e-18
 2.335438e-01    1.126135e-18
 2.373424e-01    1.117087e-18
 2.412028e-01    1.108111e-18
 2.451260e-01    1.099208e-18
 2.491130e-01    1.090376e-18
 2.531648e-01    1.081616e-18
 2.572826e-01    1.072925e-18
 2.614673e-01    1.064305e-18
 2.657201e-01    1.055753e-18
 2.700421e-01    1.047271e-18
 2.744343e-01    1.038856e-18
 2.788980e-01    1.030509e-18
 2.834343e-01    1.022229e-18
 2.880444e-01    1.014016e-18
 2.927295e-01    1.005869e-18
 2.974908e-01    9.977871e-19
 3.023295e-01    9.897702e-19
 3.072469e-01    9.818178e-19
 3.122443e-01    9.739292e-19
 3.173230e-01    9.661040e-19
 3.224842e-01    9.583417e-19
 3.277295e-01    9.506417e-19
 3.330600e-01    9.430036e-19
 3.384773e-01    9.354269e-19
 3.439826e-01    9.279111e-19
 3.495776e-01    9.204556e-19
 3.552635e-01    9.130601e-19
 3.610419e-01    9.057239e-19
 3.669142e-01    8.984468e-19
 3.728821e-01    8.912280e-19
 3.789471e-01    8.840673e-19
 3.851107e-01    8.769641e-19
 3.913746e-01    8.699180e-19
 3.977403e-01    8.629285e-19
 4.042096e-01    8.559952e-19
 4.107841e-01    8.491176e-19
 4.174655e-01    8.422952e-19
 4.242556e-01    8.355276e-19
 4.311562e-01    8.288144e-19
 4.381690e-01    8.221552e-19
 4.452959e-01    8.155495e-19
 4.525386e-01    8.089968e-19
 4.598992e-01    8.024968e-19
 4.673795e-01    7.960490e-19
 4.749815e-01    7.896530e-19
 4.827071e-01    7.833084e-19
 4.905584e-01    7.770148e-19
 4.985373e-01    7.707717e-19
 5.066461e-01    7.645788e-19
 5.148867e-01    7.584357e-19
 5.232614e-01    7.523419e-19
 5.317723e-01    7.462971e-19
 5.404216e-01    7.403009e-19
 5.492116e-01    7.343528e-19
 5.581446e-01    7.284525e-19
 5.672229e-01    7.225997e-19
 5.764488e-01    7.167938e-19
 5.858248e-01    7.110346e-19
 5.953533e-01    7.053217e-19
 6.050368e-01    6.996547e-19
 6.148778e-01    6.940332e-19
 6.248788e-01    6.884569e-19
 6.350425e-01    6.829253e-19
 6.453715e-01    6.774383e-19
 6.558686e-01    6.719953e-19
 6.665363e-01    6.665960e-19
 6.773776e-01    6.612401e-19
 6.883952e-01    6.559273e-19
 6.995920e-01    6.506572e-19
 7.109709e-01    6.454293e-19
 7.225349e-01    6.402435e-19
 7.342870e-01    6.350994e-19
 7.462303e-01    6.299966e-19
 7.583678e-01    6.249348e-19
 7.707027e-01    6.199136e-19
 7.832383e-01    6.149328e-19
 7.959777e-01    6.099921e-19
 8.089243e-01    6.050910e-19
 8.220816e-01    6.002293e-19
 8.354528e-01    5.954066e-19
 8.490415e-01    5.906227e-19
 8.628513e-01    5.858773e-19
 8.768856e-01    5.811700e-19
 8.911482e-01    5.765005e-19
 9.056428e-01    5.718685e-19
 9.203732e-01    5.672737e-19
 9.353432e-01    5.627158e-19
 9.505566e-01    5.581946e-19
 9.660175e-01    5.537097e-19
 9.817298e-01    5.492608e-19
 9.976978e-01    5.448477e-19
 1.013925e+00    5.404700e-19
 1.030417e+00    5.361275e-19
 1.047177e+00    5.318199e-19
 1.064209e+00    5.275469e-19
 1.081519e+00    5.233083e-19
 1.099110e+00    5.191037e-19
 1.116987e+00    5.149329e-19
 1.135155e+00    5.107955e-19
 1.153618e+00    5.066915e-19
 1.172382e+00    5.026204e-19
 1.191451e+00    4.985820e-19
 1.210830e+00    4.945761e-19
 1.230524e+00    4.906023e-19
 1.250539e+00    4.866605e-19
 1.270879e+00    4.827503e-19
 1.291550e+00    4.788716e-19
 1.312557e+00    4.750240e-19
 1.333906e+00    4.712074e-19
 1.355602e+00    4.674214e-19
 1.377651e+00    4.636658e-19
 1.400058e+00    4.599404e-19
 1.422830e+00    4.562449e-19
 1.445973e+00    4.525792e-19
 1.469492e+00    4.489428e-19
 1.493393e+00    4.453357e-19
 1.517683e+00    4.417576e-19
 1.542369e+00    4.382082e-19
 1.567455e+00    4.346874e-19
 1.592950e+00    4.311948e-19
 1.618860e+00    4.277303e-19
 1.645191e+00    4.242936e-19
 1.671950e+00    4.208846e-19
 1.699144e+00    4.175029e-19
 1.726781e+00    4.141484e-19
 1.754867e+00    4.108209e-19
 1.783410e+00    4.075201e-19
 1.812418e+00    4.042458e-19
 1.841897e+00    4.009978e-19
 1.871855e+00    3.977759e-19
 1.902301e+00    3.945799e-19
 1.933242e+00    3.914096e-19
 1.964687e+00    3.882648e-19
 1.996642e+00    3.851452e-19
 2.029118e+00    3.820507e-19
 2.062122e+00    3.789810e-19
 2.095662e+00    3.759360e-19
 2.129749e+00    3.729155e-19
 2.164389e+00    3.699193e-19
 2.199593e+00    3.669471e-19
 2.235370e+00    3.639988e-19
 2.271728e+00    3.610742e-19
 2.308678e+00    3.581731e-19
 2.346229e+00    3.552953e-19
 2.384390e+00    3.524406e-19
 2.423173e+00    3.496089e-19
 2.462586e+00    3.467999e-19
 2.502640e+00    3.440135e-19
 2.543346e+00    3.412494e-19
 2.584714e+00    3.385076e-19
 2.626754e+00    3.357878e-19
 2.669478e+00    3.330899e-19
 2.712898e+00    3.304136e-19
 2.757023e+00    3.277588e-19
 2.801867e+00    3.251254e-19
 2.847439e+00    3.225131e-19
 2.893753e+00    3.199218e-19
 2.940820e+00    3.173514e-19
 2.988653e+00    3.148016e-19
 3.037264e+00    3.122722e-19
 3.086665e+00    3.097632e-19
 3.136870e+00    3.072744e-19
 3.187891e+00    3.048056e-19
 3.239743e+00    3.023565e-19
 3.292437e+00    2.999272e-19
 3.345989e+00    2.975174e-19
 3.400412e+00    2.951269e-19
 3.455720e+00    2.927557e-19
 3.511928e+00    2.904035e-19
 3.569049e+00    2.880702e-19
 3.627100e+00    2.857557e-19
 3.686095e+00    2.834597e-19
 3.746050e+00    2.811822e-19
 3.806980e+00    2.789230e-19
 3.868901e+00    2.766820e-19
 3.931829e+00    2.744589e-19
 3.995780e+00    2.722537e-19
 4.060772e+00    2.700663e-19
 4.126821e+00    2.678964e-19
 4.193944e+00    2.657439e-19
 4.262159e+00    2.636087e-19
 4.331483e+00    2.614907e-19
 4.401935e+00    2.593897e-19
 4.473533e+00    2.573056e-19
 4.546295e+00    2.552383e-19
 4.620241e+00    2.531875e-19
 4.695390e+00    2.511532e-19
 4.771761e+00    2.491353e-19
 4.849374e+00    2.471336e-19
 4.928250e+00    2.451480e-19
 5.008408e+00    2.431783e-19
 5.089870e+00    2.412244e-19
 5.172657e+00    2.392863e-19
 5.256791e+00    2.373637e-19
 5.342293e+00    2.354565e-19
 5.429186e+00    2.335647e-19
 5.517492e+00    2.316881e-19
 5.607235e+00    2.298266e-19
 5.698437e+00    2.279800e-19
 5.791123e+00    2.261483e-19
 5.885316e+00    2.243312e-19
 5.981041e+00    2.225288e-19
 6.078323e+00    2.207409e-19
 6.177188e+00    2.189673e-19
 6.277660e+00    2.172080e-19
 6.379767e+00    2.154628e-19
 6.483534e+00    2.137316e-19
 6.588990e+00    2.120143e-19
 6.696160e+00    2.103109e-19
 6.805074e+00    2.086211e-19
 6.915759e+00    2.069449e-19
 7.028244e+00    2.052822e-19
 7.142559e+00    2.036328e-19
 7.258734e+00    2.019967e-19
 7.376798e+00    2.003737e-19
 7.496782e+00    1.987638e-19
 7.618718e+00    1.971668e-19
 7.742637e+00    1.955826e-19
 7.868572e+00    1.940111e-19
 7.996555e+00    1.924523e-19
 8.126619e+00    1.909060e-19
 8.258799e+00    1.893722e-19
 8.393129e+00    1.878506e-19
 8.529644e+00    1.863413e-19
 8.668380e+00    1.848441e-19
 8.809372e+00    1.833590e-19
 8.952657e+00    1.818857e-19
 9.098273e+00    1.804244e-19
 9.246257e+00    1.789747e-19
 9.396648e+00    1.775367e-19
 9.549486e+00    1.761103e-19
 9.704809e+00    1.746953e-19
 9.862658e+00    1.732916e-19
 1.002308e+01    1.699530e-19
 1.018610e+01    1.696236e-19
 1.035178e+01    1.692943e-19
 1.052015e+01    1.689650e-19
 1.069126e+01    1.686356e-19
 1.086516e+01    1.683063e-19
 1.104188e+01    1.679770e-19
 1.122148e+01    1.676476e-19
 1.140400e+01    1.673183e-19
 1.158948e+01    1.669890e-19
 1.177799e+01    1.666597e-19
 1.196956e+01    1.663303e-19
 1.216424e+01    1.660010e-19
 1.236210e+01    1.656717e-19
 1.256317e+01    1.653423e-19
 1.276751e+01    1.650130e-19
 1.297517e+01    1.646837e-19
 1.318621e+01    1.643544e-19
 1.340069e+01    1.640250e-19
 1.361865e+01    1.636957e-19
 1.384016e+01    1.633664e-19
 1.406527e+01    1.630370e-19
 1.429405e+01    1.627077e-19
 1.452654e+01    1.623784e-19
 1.476281e+01    1.620490e-19
 1.500293e+01    1.617197e-19
 1.524696e+01    1.613904e-19
 1.549495e+01    1.610611e-19
 1.574698e+01    1.607317e-19
 1.600310e+01    1.604024e-19
 1.626340e+01    1.600731e-19
 1.652792e+01    1.597437e-19
 1.679675e+01    1.594144e-19
 1.706995e+01    1.590851e-19
 1.734759e+01    1.587558e-19
 1.762975e+01    1.584264e-19
 1.791650e+01    1.580971e-19
 1.820792e+01    1.577678e-19
 1.850407e+01    1.574384e-19
 1.880504e+01    1.571091e-19
 1.911091e+01    1.567798e-19
 1.942175e+01    1.564505e-19
 1.973764e+01    1.561211e-19
 2.005868e+01    1.557918e-19
 2.038493e+01    1.554625e-19
 2.071650e+01    1.551331e-19
 2.105345e+01    1.548038e-19
 2.139589e+01    1.544745e-19
 2.174389e+01    1.541451e-19
 2.209756e+01    1.538158e-19
 2.245698e+01    1.534865e-19
 2.282224e+01    1.531572e-19
 2.319345e+01    1.528278e-19
 2.357069e+01    1.524985e-19
 2.395407e+01    1.521692e-19
 2.434369e+01    1.518398e-19
 2.473964e+01    1.515105e-19
 2.514203e+01    1.511812e-19
 2.555097e+01    1.508519e-19
 2.596656e+01    1.505225e-19
 2.638891e+01    1.501932e-19
 2.681813e+01    1.498639e-19
 2.725433e+01    1.495345e-19
 2.769762e+01    1.492052e-19
 2.814812e+01    1.488759e-19
 2.860596e+01    1.485465e-19
 2.907123e+01    1.482172e-19
 2.954408e+01    1.478879e-19
 3.002462e+01    1.475586e-19
 3.051297e+01    1.472292e-19
 3.100927e+01    1.468999e-19
 3.151363e+01    1.465706e-19
 3.202621e+01    1.462412e-19
 3.254712e+01    1.459119e-19
 3.307650e+01    1.455826e-19
 3.361449e+01    1.452533e-19
 3.416123e+01    1.449239e-19
 3.471687e+01    1.445946e-19
 3.528154e+01    1.442653e-19
 3.585540e+01    1.439359e-19
 3.643859e+01    1.436066e-19
 3.703127e+01    1.432773e-19
 3.763358e+01    1.429479e-19
 3.824570e+01    1.426186e-19
 3.886777e+01    1.422893e-19
 3.949995e+01    1.419600e-19
 4.014242e+01    1.416306e-19
 4.079535e+01    1.413013e-19
