**************************************************************************************************************


SPECIES :  I_2^+ / I2
PROCESS:  I_2^+ + I2 -> I_2 + I2^+, Backscat
PARAM.:   delta E = 0.00
COMMENT:  fit from fig 2 in Hause et al (2015) in the center of mass, overestimated as a small contribution from fragmentation is included
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 9.203732e-01    1.134547e-18
 9.353432e-01    1.125432e-18
 9.505566e-01    1.116389e-18
 9.660175e-01    1.107419e-18
 9.817298e-01    1.098522e-18
 9.976978e-01    1.089695e-18
 1.013925e+00    1.080940e-18
 1.030417e+00    1.072255e-18
 1.047177e+00    1.063640e-18
 1.064209e+00    1.055094e-18
 1.081519e+00    1.046617e-18
 1.099110e+00    1.038207e-18
 1.116987e+00    1.029866e-18
 1.135155e+00    1.021591e-18
 1.153618e+00    1.013383e-18
 1.172382e+00    1.005241e-18
 1.191451e+00    9.971640e-19
 1.210830e+00    9.891521e-19
 1.230524e+00    9.812046e-19
 1.250539e+00    9.733210e-19
 1.270879e+00    9.655007e-19
 1.291550e+00    9.577432e-19
 1.312557e+00    9.500480e-19
 1.333906e+00    9.424147e-19
 1.355602e+00    9.348427e-19
 1.377651e+00    9.273316e-19
 1.400058e+00    9.198808e-19
 1.422830e+00    9.124899e-19
 1.445973e+00    9.051583e-19
 1.469492e+00    8.978857e-19
 1.493393e+00    8.906715e-19
 1.517683e+00    8.835152e-19
 1.542369e+00    8.764165e-19
 1.567455e+00    8.693748e-19
 1.592950e+00    8.623896e-19
 1.618860e+00    8.554606e-19
 1.645191e+00    8.485873e-19
 1.671950e+00    8.417692e-19
 1.699144e+00    8.350058e-19
 1.726781e+00    8.282968e-19
 1.754867e+00    8.216418e-19
 1.783410e+00    8.150401e-19
 1.812418e+00    8.084916e-19
 1.841897e+00    8.019956e-19
 1.871855e+00    7.955518e-19
 1.902301e+00    7.891599e-19
 1.933242e+00    7.828192e-19
 1.964687e+00    7.765295e-19
 1.996642e+00    7.702904e-19
 2.029118e+00    7.641014e-19
 2.062122e+00    7.579621e-19
 2.095662e+00    7.518721e-19
 2.129749e+00    7.458311e-19
 2.164389e+00    7.398386e-19
 2.199593e+00    7.338942e-19
 2.235370e+00    7.279976e-19
 2.271728e+00    7.221484e-19
 2.308678e+00    7.163462e-19
 2.346229e+00    7.105906e-19
 2.384390e+00    7.048812e-19
 2.423173e+00    6.992177e-19
 2.462586e+00    6.935998e-19
 2.502640e+00    6.880269e-19
 2.543346e+00    6.824988e-19
 2.584714e+00    6.770152e-19
 2.626754e+00    6.715756e-19
 2.669478e+00    6.661797e-19
 2.712898e+00    6.608272e-19
 2.757023e+00    6.555177e-19
 2.801867e+00    6.565766e-19
 2.847439e+00    6.563664e-19
 2.893753e+00    6.561562e-19
 2.940820e+00    6.559459e-19
 2.988653e+00    6.557357e-19
 3.037264e+00    6.555255e-19
 3.086665e+00    6.553153e-19
 3.136870e+00    6.551051e-19
 3.187891e+00    6.548949e-19
 3.239743e+00    6.546847e-19
 3.292437e+00    6.544745e-19
 3.345989e+00    6.542643e-19
 3.400412e+00    6.540541e-19
 3.455720e+00    6.538438e-19
 3.511928e+00    6.536336e-19
 3.569049e+00    6.534234e-19
 3.627100e+00    6.532132e-19
 3.686095e+00    6.530030e-19
 3.746050e+00    6.527928e-19
 3.806980e+00    6.525826e-19
 3.868901e+00    6.523724e-19
 3.931829e+00    6.521622e-19
 3.995780e+00    6.519520e-19
 4.060772e+00    6.517417e-19
 4.126821e+00    6.515315e-19
 4.193944e+00    6.513213e-19
 4.262159e+00    6.511111e-19
 4.331483e+00    6.509009e-19
 4.401935e+00    6.506907e-19
 4.473533e+00    6.504805e-19
 4.546295e+00    6.502703e-19
 4.620241e+00    6.500601e-19
 4.695390e+00    6.498498e-19
 4.771761e+00    6.496396e-19
 4.849374e+00    6.494294e-19
 4.928250e+00    6.492192e-19
 5.008408e+00    6.490090e-19
 5.089870e+00    6.487988e-19
 5.172657e+00    6.485886e-19
 5.256791e+00    6.483784e-19
 5.342293e+00    6.481682e-19
 5.429186e+00    6.479580e-19
 5.517492e+00    6.477477e-19
 5.607235e+00    6.475375e-19
 5.698437e+00    6.473273e-19
 5.791123e+00    6.471171e-19
 5.885316e+00    6.469069e-19
 5.981041e+00    6.466967e-19
 6.078323e+00    6.464865e-19
 6.177188e+00    6.462763e-19
 6.277660e+00    6.460661e-19
 6.379767e+00    6.458559e-19
 6.483534e+00    6.456456e-19
 6.588990e+00    6.454354e-19
 6.696160e+00    6.452252e-19
 6.805074e+00    6.450150e-19
 6.915759e+00    6.448048e-19
 7.028244e+00    6.445946e-19
 7.142559e+00    6.443844e-19
 7.258734e+00    6.441742e-19
 7.376798e+00    6.439640e-19
 7.496782e+00    6.437538e-19
 7.618718e+00    6.435435e-19
 7.742637e+00    6.433333e-19
 7.868572e+00    6.431231e-19
 7.996555e+00    6.429129e-19
 8.126619e+00    6.427027e-19
 8.258799e+00    6.424925e-19
 8.393129e+00    6.422823e-19
 8.529644e+00    6.420721e-19
 8.668380e+00    6.418619e-19
 8.809372e+00    6.416517e-19
 8.952657e+00    6.414414e-19
 9.098273e+00    6.412312e-19
 9.246257e+00    6.410210e-19
 9.396648e+00    6.408108e-19
 9.549486e+00    6.406006e-19
 9.704809e+00    6.403904e-19
 9.862658e+00    6.401802e-19
 1.002308e+01    6.399700e-19
 1.018610e+01    6.397598e-19
 1.035178e+01    6.395495e-19
 1.052015e+01    6.393393e-19
 1.069126e+01    6.391291e-19
 1.086516e+01    6.389189e-19
 1.104188e+01    6.387087e-19
 1.122148e+01    6.384985e-19
 1.140400e+01    6.382883e-19
 1.158948e+01    6.380781e-19
 1.177799e+01    6.378679e-19
 1.196956e+01    6.376577e-19
 1.216424e+01    6.374474e-19
 1.236210e+01    6.372372e-19
